database,script,txns,sessions,events,keys,ops_per_txn,ours (s),ours (MiB),ours (res)
rocksdb,twitter,242459,50,1603636,181419,N/A,1.519968,297.80,C
rocksdb,twitter,481027,50,3176724,319502,N/A,3.455612,610.01,C
rocksdb,twitter,956588,50,6232203,559815,N/A,7.015996,1219.29,C
postgres,rubis,1003,100,8302,3181,N/A,0.0124,2.08,C
postgres,rubis,1988,100,15673,5271,N/A,0.014013,3.62,C
postgres,rubis,3997,100,28965,8191,N/A,0.021723,6.21,C
postgres,rubis,7915,100,53293,12088,N/A,0.05658,12.64,C
postgres,rubis,15869,100,101267,18657,N/A,0.100769,21.84,C
postgres,rubis,31755,100,197435,31416,N/A,0.185827,43.83,C
postgres,rubis,63343,100,387390,56364,N/A,0.33578,82.22,C
postgres,rubis,126718,100,769316,106414,N/A,0.735843,156.84,C
postgres,rubis,253885,100,1533108,208424,N/A,1.589354,303.98,C
postgres,rubis,507729,100,3060257,409366,N/A,3.45534,604.21,C
postgres,rubis,1015023,100,6111542,811160,N/A,7.198026,1207.44,C
cockroachdb,rubis,1006,50,8376,3183,N/A,0.012458,2.12,C
cockroachdb,rubis,2011,50,15807,5271,N/A,0.015528,3.62,C
cockroachdb,rubis,4025,50,28966,8170,N/A,0.02728,6.14,C
cockroachdb,rubis,8030,50,53620,12192,N/A,0.053387,10.88,C
cockroachdb,rubis,16049,50,101804,18788,N/A,0.09265,22.09,C
cockroachdb,rubis,32139,50,198652,31660,N/A,0.193303,44.31,C
cockroachdb,rubis,64220,50,390492,57220,N/A,0.366743,83.91,C
cockroachdb,rubis,128430,50,774226,108938,N/A,0.707491,159.43,C
cockroachdb,rubis,257261,50,1548254,211181,N/A,1.670964,312.41,C
cockroachdb,rubis,515325,50,3088292,417025,N/A,3.476567,623.57,C
cockroachdb,rubis,1029093,50,6162204,827140,N/A,7.301709,1262.42,C
