database,script,txns,sessions,events,keys,ours (s),plume (s),dbcop (s),ours (res),plume (res),dbcop (res)
rocksdb,tpcc,3108,100,120505,45970,0.378952,2.651128,7.200753,C,C,C
rocksdb,tpcc,5817,100,215210,71084,0.632426,4.272089,322.244863,C,C,C
rocksdb,tpcc,11843,100,404052,117098,1.199825,6.48857,DNR,C,C,DNR
rocksdb,tpcc,24477,100,789709,199965,2.566761,11.111353,DNR,C,C,DNR
rocksdb,tpcc,48217,100,1507931,341553,5.472748,27.868108,DNR,C,C,DNR
rocksdb,tpcc,95045,100,2881027,582563,11.139653,69.527577,DNR,C,C,DNR
rocksdb,tpcc,188674,100,5604325,1004556,23.930526,238.393975,DNR,C,C,DNR
rocksdb,tpcc,377636,100,10893963,1732496,52.164142,798.960434,DNR,C,C,DNR
rocksdb,tpcc,756092,100,21426307,3066796,122.226651,2641.502124,DNR,C,C,DNR
rocksdb,tpcc,1514105,100,42274017,5541737,299.802167,DNF,DNR,C,N/A,DNR
cockroachdb,tpcc,1870,50,72987,28939,0.197274,1.852606,1.236163,C,C,C
cockroachdb,tpcc,3161,50,126690,47788,0.305128,2.502668,45.827633,C,C,C
cockroachdb,tpcc,6811,50,245401,80141,0.584675,3.95634,1309.56385,C,C,C
cockroachdb,tpcc,14590,50,488660,135338,1.16149,6.378448,DNR,C,C,DNR
cockroachdb,tpcc,28630,50,917753,228931,2.362034,11.771671,DNR,C,C,DNR
cockroachdb,tpcc,56148,50,1763153,398690,5.046667,24.6304,DNR,C,C,DNR
cockroachdb,tpcc,114125,50,3433898,678735,10.776652,56.864732,DNR,C,C,DNR
cockroachdb,tpcc,225014,50,6636934,1177961,23.526056,116.668159,DNR,C,C,DNR
cockroachdb,tpcc,450710,50,12973823,2062582,52.635808,553.157083,DNR,C,C,DNR
cockroachdb,tpcc,905587,50,25620662,3687906,117.35094,5006.348017,DNR,C,C,DNR
cockroachdb,tpcc,1812223,50,50577782,6730354,280.496384,DNF,DNR,C,N/A,DNR
postgres,rubis,1006,50,8463,3218,0.024099,1.056229,0.179803,C,C,C
postgres,rubis,2023,50,15870,5350,0.066434,1.348315,4.752481,C,C,C
postgres,rubis,4021,50,29261,8296,0.10803,2.111422,151.801929,C,C,C
postgres,rubis,8049,50,53847,12123,0.175006,2.89206,DNR,C,C,DNR
postgres,rubis,16056,50,102479,18799,0.303731,4.193951,DNR,C,C,DNR
postgres,rubis,32179,50,198370,31716,0.628719,6.563051,DNR,C,C,DNR
postgres,rubis,64294,50,391158,57174,1.328818,12.057663,DNR,C,C,DNR
postgres,rubis,128614,50,776478,108531,2.973167,24.605354,DNR,C,C,DNR
postgres,rubis,257149,50,1545510,211002,6.696899,55.248542,DNR,C,C,DNR
postgres,rubis,514379,50,3081473,416560,15.477119,181.286522,DNR,C,C,DNR
postgres,rubis,1028690,50,6165842,825181,37.28957,668.119728,DNR,C,C,DNR
postgres,tpcc,1559,50,61996,25412,0.144221,2.242805,0.679382,C,C,C
postgres,tpcc,2840,50,108815,41352,0.229814,2.593909,23.046927,I,I,C
postgres,tpcc,6717,50,237386,79043,0.566849,4.16043,1004.317338,C,C,C
postgres,tpcc,13016,50,434819,125682,1.026954,6.577749,DNR,C,C,DNR
postgres,tpcc,28902,50,903953,221594,1.172873,10.49809,DNR,I,N/A,DNR
postgres,tpcc,56153,50,1707685,377477,5.025802,19.107278,DNR,C,C,DNR
postgres,tpcc,111608,50,3285875,643549,10.345758,39.244312,DNR,C,C,DNR
postgres,tpcc,222615,50,6356005,1102065,22.385414,97.366913,DNR,C,C,DNR
postgres,tpcc,442989,50,12442735,1931844,50.12172,386.742879,DNR,C,C,DNR
postgres,tpcc,886437,50,24420983,3434033,108.594373,1041.851373,DNR,C,C,DNR
postgres,tpcc,1777734,50,48247456,6233519,259.846909,DNF,DNR,C,N/A,DNR
postgres,rubis,1003,100,8302,3181,0.042645,0.948672,0.058915,C,C,C
postgres,rubis,1988,100,15673,5271,0.07915,1.432732,0.674875,C,C,C
postgres,rubis,3997,100,28965,8191,0.101414,2.157336,38.39705,C,C,C
postgres,rubis,7915,100,53293,12088,0.207909,3.109575,DNR,C,C,DNR
postgres,rubis,15869,100,101267,18657,0.392066,4.624356,DNR,C,C,DNR
postgres,rubis,31755,100,197435,31416,0.768342,7.424804,DNR,C,C,DNR
postgres,rubis,63343,100,387390,56364,1.725055,13.922541,DNR,C,C,DNR
postgres,rubis,126718,100,769316,106414,3.824863,28.883145,DNR,C,C,DNR
postgres,rubis,253885,100,1533108,208424,8.841901,78.267013,DNR,C,C,DNR
postgres,rubis,507729,100,3060257,409366,20.916316,220.234878,DNR,C,C,DNR
postgres,rubis,1015023,100,6111542,811160,57.29478,892.855729,DNR,C,C,DNR
rocksdb,tpcc,1684,50,70417,28980,0.189994,1.922537,0.95724,C,C,C
rocksdb,tpcc,3298,50,131505,49802,0.305879,2.65602,48.968997,C,C,C
rocksdb,tpcc,6975,50,252622,80782,0.587583,4.099111,1249.170688,C,C,C
rocksdb,tpcc,12500,50,439647,129604,1.060016,6.713031,DNR,C,C,DNR
rocksdb,tpcc,26522,50,878953,223330,2.316727,11.347991,DNR,C,C,DNR
rocksdb,tpcc,50249,50,1626739,378330,4.688059,23.276365,DNR,C,C,DNR
rocksdb,tpcc,100953,50,3158112,648215,9.773045,51.241858,DNR,C,C,DNR
rocksdb,tpcc,200737,50,6078822,1109997,21.414572,148.215007,DNR,C,C,DNR
rocksdb,tpcc,397846,50,11775896,1924531,47.389394,683.31976,DNR,C,C,DNR
rocksdb,tpcc,798136,50,23186820,3425154,102.521191,2065.089127,DNR,C,C,DNR
rocksdb,tpcc,1596227,50,45686404,6225035,248.168599,DNF,DNR,C,N/A,DNR
